,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
90,BBC,Wed Jan 03 14:33:04 +0000 2018,"UK music fans streamed an astonishing 68.1 billion songs last year. That's 1,036 songs each! ?… https://t.co/qGZA7j3mQk",0.0,0.0,0.0,1.0,10
91,BBC,Wed Jan 03 14:00:15 +0000 2018,"From mystical tors to magnificent structures, here are some of the most remarkable sacred sites in the UK. ?… https://t.co/G65X5xs8XA",0.8313,0.302,0.0,0.698,9
92,BBC,Wed Jan 03 13:41:47 +0000 2018,"RT @bbcthree: Beyonce, Eminem and The Weeknd to headline this year's Coachella https://t.co/Id53YSs8hi https://t.co/FXriYoTKpi",0.0,0.0,0.0,1.0,8
93,BBC,Wed Jan 03 13:30:04 +0000 2018,"Limit children's snacks to 100 calories, health body says. ?? https://t.co/KTW5vkMoj0 https://t.co/t6xvL4aUUJ",0.0,0.0,0.0,1.0,7
94,BBC,Wed Jan 03 13:13:52 +0000 2018,RT @BBCWalesNews: ? #StormEleanor has been battering the Welsh coast - watch its winds and waves here: https://t.co/Uz65gM3Hgr,0.0,0.0,0.0,1.0,6
95,BBC,Wed Jan 03 13:13:20 +0000 2018,RT @bbcthree: It's now illegal to pay women less than men in Iceland https://t.co/nLFkPwoeHF https://t.co/GE6nuJQZEE,-0.6124,0.0,0.278,0.722,5
96,BBC,Wed Jan 03 13:13:11 +0000 2018,"RT @CBeebiesHQ: Look who's here ?

Keep your ‘Nocturnal Animals' entertained with Isla Fisher's Bedtime Story ??

She reads ‘A Big Day for…",0.4019,0.114,0.0,0.886,4
97,BBC,Wed Jan 03 13:02:51 +0000 2018,"RT @bbcdoctorwho: When you realise it's been nine years since Matt Smith was announced as the Eleventh Doctor…
#WhereHasTheTimeGone #Doctor…",0.0,0.0,0.0,1.0,3
98,BBC,Wed Jan 03 13:00:10 +0000 2018,A woman who thought for years she had Crohn's disease was found to have pieces of a sauce sachet in her intestine.… https://t.co/fh740RQ6W6,0.0,0.0,0.0,1.0,2
99,BBC,Wed Jan 03 12:30:06 +0000 2018,Think it's cold where you are? Find out how people in the Russian far east cope with living in -50 Celsius. ?? https://t.co/YIgVe77Zey,0.0,0.0,0.0,1.0,1
100,CBS,Thu Jan 04 23:13:02 +0000 2018,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",0.1867,0.11,0.0,0.89,100
101,CBS,Thu Jan 04 14:43:09 +0000 2018,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",-0.296,0.0,0.121,0.879,99
102,CBS,Wed Jan 03 20:33:09 +0000 2018,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",0.5423,0.179,0.0,0.821,98
103,CBS,Wed Jan 03 19:51:15 +0000 2018,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,-0.5267,0.0,0.167,0.833,97
104,CBS,Wed Jan 03 15:00:05 +0000 2018,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,0.5423,0.143,0.0,0.857,96
105,CBS,Wed Jan 03 12:00:01 +0000 2018,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",0.0,0.0,0.0,1.0,95
106,CBS,Wed Jan 03 00:47:26 +0000 2018,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",-0.7692,0.0,0.267,0.733,94
107,CBS,Tue Jan 02 22:41:51 +0000 2018,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9,0.8516,0.34,0.0,0.66,93
108,CBS,Tue Jan 02 08:00:03 +0000 2018,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf",0.0,0.0,0.0,1.0,92
109,CBS,Mon Jan 01 01:16:12 +0000 2018,"Due to #NFL football games overrun, revised start times &amp; lineup for Eastern/Central Time Zones Only:
#60Minutes 8:… https://t.co/rqOYbM5j0h",0.0,0.0,0.0,1.0,91
110,CBS,Sun Dec 31 14:37:05 +0000 2017,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE (not ava… https://t.co/NEntvW7QHd,0.7798,0.264,0.0,0.736,90
111,CBS,Sat Dec 30 20:25:20 +0000 2017,"RT @NoActivityCBS: All season nothing's happened. Now prepare for activity. Stream the #NoActivity season finale Sunday, Dec 31 on CBS All…",0.0,0.0,0.0,1.0,89
112,CBS,Sat Dec 30 20:24:58 +0000 2017,RT @startrekcbs: Find out what happens when you boldly go too far. #StarTrekDiscovery continues January 7 on CBS All Access: https://t.co/f…,0.3612,0.116,0.0,0.884,88
113,CBS,Fri Dec 29 16:06:02 +0000 2017,Stream NC State Wolfpack at Arizona State Sun Devils LIVE today at 3PM ET with a 1-month FREE trial of… https://t.co/8k50thgtip,0.0857,0.157,0.144,0.699,87
114,CBS,Thu Dec 28 20:31:01 +0000 2017,"In case you missed this star-studded tribute to Carol Burnett's classic comedy series, catch up now! Watch The Caro… https://t.co/wu7BxM9gtm",0.1511,0.121,0.096,0.783,86
115,CBS,Thu Dec 28 19:28:22 +0000 2017,Some of TV's biggest stars saluted @TheNormanLear's impact on television and culture at The 40th Annual Kennedy Cen… https://t.co/E74ChUW1uE,0.0,0.0,0.0,1.0,85
116,CBS,Wed Dec 27 22:45:05 +0000 2017,The search is on to find the pro football player with the best off-the-field talent. Vote for your favorite player… https://t.co/R0fb5ngJ16,0.875,0.357,0.0,0.643,84
117,CBS,Wed Dec 27 21:04:10 +0000 2017,"Celebrate everyone's favorite classic sitcom with Carol Burnett, Vicki Lawrence, and more stars during The Carol Bu… https://t.co/SaiZ9TzBVO",0.7717,0.295,0.0,0.705,83
118,CBS,Wed Dec 27 19:52:02 +0000 2017,Joy to the world of streaming! Try #CBSAllAccess FREE for 1 month – just use code BINGE by 1/2:… https://t.co/9p1ACnslz6,0.8452,0.337,0.0,0.663,82
119,CBS,Wed Dec 27 19:40:34 +0000 2017,"Music legend Stevie Wonder salutes @LionelRichie while performing his classic hit, ""Easy"" at The 40th Annual Kenned… https://t.co/7TeDeNyhgo",0.0,0.0,0.0,1.0,81
120,CBS,Thu Jan 04 23:13:02 +0000 2018,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",0.1867,0.11,0.0,0.89,80
121,CBS,Thu Jan 04 14:43:09 +0000 2018,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",-0.296,0.0,0.121,0.879,79
122,CBS,Wed Jan 03 20:33:09 +0000 2018,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",0.5423,0.179,0.0,0.821,78
123,CBS,Wed Jan 03 19:51:15 +0000 2018,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,-0.5267,0.0,0.167,0.833,77
124,CBS,Wed Jan 03 15:00:05 +0000 2018,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,0.5423,0.143,0.0,0.857,76
125,CBS,Wed Jan 03 12:00:01 +0000 2018,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",0.0,0.0,0.0,1.0,75
126,CBS,Wed Jan 03 00:47:26 +0000 2018,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",-0.7692,0.0,0.267,0.733,74
